product_idea,potential_market,trend_of_demand,market_acceptance,stability_of_demand,label
beauty products reselling business,89,11.25,40.42,20,1
beauty products reselling business,168,11.08,40.37,46.09,1
beauty products reselling business,20,11.92,39.58,-80,0
beauty products reselling business,59,11.67,40.38,-30,0
beauty products reselling business,36,12.08,40.27,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,25,11.67,40.27,-40,0
beauty products reselling business,39,11.5,40.32,-30,0
beauty products reselling business,22,12,40.78,15,1
beauty products reselling business,308,11.58,40.18,6.21,0
beauty products reselling business,20,12,40.91,20,1
beauty products reselling business,564,7.75,40.4,-49.23,0
beauty products reselling business,20,12,40.68,20,1
beauty products reselling business,148,12.17,39.95,15,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,201,12.25,40.36,95,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,22,12,40.77,15,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,165,11.92,40,420,1
beauty products reselling business,27,11.92,40.22,220,1
beauty products reselling business,195,10.25,40.4765,-80,0
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,74,11.67,40.32,3.33,0
beauty products reselling business,20,12.08,40.69,20,1
beauty products reselling business,71,12.25,40.63,70,1
beauty products reselling business,1607,13.17,40.35,-42.16,0
beauty products reselling business,101,12.33,40.36,-13.33,0
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,21,12,40.87,15,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,316,12.17,40.25,126.25,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,258,11,40.51,-21.67,0
beauty products reselling business,84293,100.33,40.29,260,1
beauty products reselling business,568,6.92,40.23,-22.7,0
beauty products reselling business,20,12,40,20,1
beauty products reselling business,30,12.33,40.63,20,1
beauty products reselling business,80,12,40.45,20,1
beauty products reselling business,20,12.08,40,20,1
beauty products reselling business,968,11.75,40.37,308.89,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,21,12.17,40.75,20,1
beauty products reselling business,106,12.25,40.23,353.33,1
beauty products reselling business,106,11.25,40.42,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,1454,16.08,40.48,21.61,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,2080,6.25,40.39,18.37,1
beauty products reselling business,20,11.92,40.49,-80,0
beauty products reselling business,20,12,40,20,1
beauty products reselling business,104,11.92,40.34,210.91,1
beauty products reselling business,20,11.92,40.96,-80,0
beauty products reselling business,21,12,40.8,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12.17,39.89,20,1
beauty products reselling business,20,12,40.65,20,1
beauty products reselling business,148,13.42,40.1,53.33,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,84,12.33,40.46,-30,0
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,64,11,40.78,-65.71,0
beauty products reselling business,20,11.92,40.87,-80,0
beauty products reselling business,99,11.25,40.62,-80,0
beauty products reselling business,22,12.17,40.65,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,20,12,40,20,1
beauty products reselling business,78,11.33,40.64,-49.23,0
beauty products reselling business,509,12.58,40.62,-14.62,0
beauty products reselling business,138,11.25,40.33,26.25,1
beauty products reselling business,23,12.25,40.55,20,1
bicycle shop business,20,12,40,20,1
bicycle shop business,957,10.67,40.12,-32.38,0
bicycle shop business,110,12.17,40.25,2620,1
bicycle shop business,20,12,40,20,1
bicycle shop business,20,12,40,20,1
bicycle shop business,48,11.75,40.34,-80,0
bicycle shop business,20,12,40,20,1
bicycle shop business,20,12,40,20,1
bicycle shop business,93,11.58,40.26,-5.93,0
bicycle shop business,48,11.42,40.1,-80,0
bicycle shop business,20,12,40,20,1
bicycle shop business,39698,-8.83,40.23,1283.96,0
bicycle shop business,20,12,40,20,1
bicycle shop business,3944,-26.08,40.17,-76.62,0
bicycle shop business,20,12,40,20,1
bills payment business,20,12,40,20,1
bills payment business,20,12,40,20,1
bills payment business,20,12,40,20,1
bills payment business,20,12,40,20,1
bills payment business,11605,-336.83,40.33,-21.58,0
bills payment business,29,12.58,40.3,153.33,1
bills payment business,20,12,40,20,1
bills payment business,20,12,40,20,1
bills payment business,118,12.17,40.11,-22.86,0
bills payment business,20,12,40,20,1
bills payment business,20,12,40,20,1
bills payment business,179,14.08,40.22,-80,0
bills payment business,20,12,40,20,1
bills payment business,20,12,40,20,1
bills payment business,104,11.75,40.17,-56.92,0
bills payment business,95,11.75,40.04,141.05,1
bills payment business,20,12,40,20,1
bills payment business,20,12,40,20,1
bills payment business,28,11.92,40.17,186.67,1
bills payment business,35,12.17,40.27,-80,0
bills payment business,994,2,40.61,-45.38,0
bills payment business,22,12.25,39.67,20,1
bills payment business,86,11.92,40.01,212.86,1
bills payment business,20,12,40,20,1
book store,50515,-2.42,40.3,50.89,0
book store,1088,6,40.28,-1.5,0
book store,20,12,40,20,1
book store,20,12,40,20,1
book store,26816,-5.5,40.33,40.55,0
book store,23,11.92,40.49,-80,0
book store,145,12.75,40.28,570,1
book store,20,12,40,20,1
book store,27,12,39.97,20,1
book store,22435,88.42,40.19,781.56,1
book store,57,11.25,40.07,-72.31,0
cake and pastry business,21,12.08,40,20,1
cake and pastry business,22,12,40.77,20,1
cake and pastry business,192,14.42,40.24,-11.25,0
cake and pastry business,721,14.33,40.28,23.17,1
cake and pastry business,211,12.25,40.5,-5,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,168,13,40.41,10.91,0
cake and pastry business,27,12,40,15,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,24,11.67,40.9,-60,0
cake and pastry business,20,12,40,20,1
cake and pastry business,223,13,40.22,1.82,0
cake and pastry business,55,12.17,40.34,15,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,11.92,40.92,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,11.83,40.57,-80,0
cake and pastry business,211,11.08,40.57,210.91,1
cake and pastry business,29,12.08,40.33,20,1
cake and pastry business,457,11,40.25,34.29,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12.08,40.58,20,1
cake and pastry business,21,12.08,40.31,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,24,12.08,40.61,15,1
cake and pastry business,20,12,40,20,1
cake and pastry business,73,11.5,40.32,26.67,1
cake and pastry business,20,12,40,20,1
cake and pastry business,22,12,40.52,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,15827,12.08,40.37,-28.15,0
cake and pastry business,22,12.08,40.7096,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,40,12.67,40.15,-80,0
cake and pastry business,31,11.92,40.63,-60,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,59,11.33,40.24,10,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,27,11.92,40.31,120,1
cake and pastry business,31,11.67,39.83,-60,0
cake and pastry business,52,11.42,40.24,-55,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,21,11.83,40.13,-30,0
cake and pastry business,41,11.83,40.36,45,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,38,11.92,40.16,-13.33,0
cake and pastry business,116,11.5,40.5,0.95,0
cake and pastry business,20,12.08,40.94,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,32,11.67,40.69,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,254,10.92,40.23,-38.54,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12.08,40.93,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,165,11.42,40.3,8.89,0
cake and pastry business,47,12,40.42,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,47,12.08,40.39,-46.67,0
cake and pastry business,20,12,40,20,1
cake and pastry business,98,11.42,40.37,-80,0
cake and pastry business,301,11.08,40.29,23.33,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,30,12,40.83,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,21,11.92,40.01,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,28,11.92,40.17,-46.67,0
cake and pastry business,126,12.92,40.19,20,1
cake and pastry business,41,12,40.53,320,1
cake and pastry business,20,12,40,20,1
cake and pastry business,557,10.08,40.37,-7.78,0
cake and pastry business,20,12.08,40,20,1
cake and pastry business,32,11.75,40.71,-80,0
cake and pastry business,22,11.83,40,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,945,10.83,40.44,634.29,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,115,13.08,40.12,620,1
cake and pastry business,52,12,40,20,1
cake and pastry business,21,12.17,40.0258,20,1
cake and pastry business,21,12.08,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,113,11.42,40.2,20,1
cake and pastry business,29,12.42,40.32,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,27,11.67,40.64,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,766,10.08,40.26,-7.42,0
cake and pastry business,531,8.67,40.37,-27.37,0
cake and pastry business,20,12,40,20,1
cake and pastry business,25,11.92,40.99,-80,0
cake and pastry business,45,12.25,39.93,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,46,11.75,40.57,-5,0
cake and pastry business,73,11.92,40.09,120,1
cake and pastry business,1813,10.83,40.27,-8.89,0
cake and pastry business,36,12.17,40.09,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12.08,40.42,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,50,12.25,40.34,15,1
cake and pastry business,51,11.75,40.14,-24.44,0
cake and pastry business,20,12,40,20,1
cake and pastry business,2201,-6.42,40.28,-27.15,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,22,11.83,39.66,-80,0
cake and pastry business,728,17.75,40.45,34.29,1
cake and pastry business,20,11.92,39.83,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,32,12.67,40.27,20,1
cake and pastry business,63,11.67,40.17,-7.27,0
cake and pastry business,20,12,40,20,1
cake and pastry business,22,12.17,40.24,15,1
cake and pastry business,212,10.25,40.45,-36.67,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,11.92,40.87,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,130,9.75,40.23,-49.7,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,47,12,40.36,15,1
cake and pastry business,20,12,40.86,15,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12.08,40.46,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,59,11.75,40.61,-80,0
cake and pastry business,23,12.17,40.76,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,643,8.67,40.23,-5.32,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,21,12.08,40.57,20,1
cake and pastry business,25,12.08,40.96,20,1
cake and pastry business,20,11.92,40,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,935,10.75,40.42,0.46,0
cake and pastry business,22,12,40.59,15,1
cake and pastry business,27,12,40.33,-80,0
cake and pastry business,53,12.58,40.4,70,1
cake and pastry business,25,11.58,40.62,-80,0
cake and pastry business,23,12.17,40.9,20,1
cake and pastry business,20,12.42,40.28,20,1
cake and pastry business,22,12.08,40.2,120,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,81,12.42,40.46,-13.33,0
cake and pastry business,79,12.08,40.84,15,1
cake and pastry business,21,12.08,39.52,20,1
cake and pastry business,22,12.17,39.66,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,1838,6.75,40.38,-16.02,0
cake and pastry business,27,12,40.04,20,1
cake and pastry business,24,12.08,40.28,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,23,12,40.12,20,1
cake and pastry business,20,11.92,40.6,-80,0
cake and pastry business,20,11.92,39.51,-80,0
cake and pastry business,24,12,40,15,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,22,11.67,40.21,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,130,9.75,40.23,-49.7,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,111,10.17,40.66,-70.91,0
cake and pastry business,9878,18.75,40.37,40.75,1
cake and pastry business,47,11.25,40.28,-25.45,0
cake and pastry business,20,12,40.11,20,1
cake and pastry business,37,11.92,40.33,120,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,235,10,40.47,-40.71,0
cake and pastry business,20,11.92,39.56,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,21,12.08,40.42,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40.25,20,1
cake and pastry business,21,11.83,40.14,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,33,11.92,40.65,-80,0
cake and pastry business,40,11.67,40.25,-40,0
cake and pastry business,20,12,40,20,1
cake and pastry business,24,12.25,40.24,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,28233,326.08,40.04,245.42,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,56,11.67,40.3,-43.64,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,25,11.92,40.29,-30,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,21,12.17,39.5816,20,1
cake and pastry business,83,11.67,40.3,120,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,51,12.08,40.19,270,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,212,12.08,40.26,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12.08,40.95,20,1
cake and pastry business,326,12.58,40.38,420,1
cake and pastry business,20,12,40,20,1
cake and pastry business,27,12.17,40.29,20,1
cake and pastry business,78,11.58,40.13,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,721,14.33,40.27829902,23.17460317,1
cake and pastry business,103,12.17,40.34,170,1
cake and pastry business,21,12.08,40,20,1
cake and pastry business,22,12,40.29,15,1
cake and pastry business,25,11.92,40.23,-80,0
cake and pastry business,29,12.25,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,11.92,40.7,-80,0
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,28,12.08,40.62,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,105,11.33,40.26,58.89,1
cake and pastry business,20,12.08,40.29,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
cake and pastry business,20,12,40,20,1
call center business,20,12,40,20,1
candle shop,1850,19.67,40.39,58.82,1
candle shop,20,12,40,20,1
candle shop,20,12,40,20,1
candle shop,65,11.17,40.42,0,0
car parts and services,20,12,40,20,1
car parts and services,20,12,40,20,1
car parts and services,20,12,40,20,1
car parts and services,279,1.83,40.18,-77.56,0
car parts and services,43,13.58,40.25,-80,0
car parts and services,23,12.42,40.2,20,1
car parts and services,25,12.25,40.44,20,1
car parts and services,444,12.5,40.2,98.95,1
car parts and services,36,11.67,40.26,-63.33,0
car parts and services,57768,-322.92,39.88,-57.87,0
car parts and services,1296,11.5,40.25,6.67,0
car parts and services,21,12.08,40,20,1
car parts and services,20,12,40,20,1
car parts and services,21,12,40.29,20,1
car parts and services,40,11.92,40.04,80,1
car parts and services,20,12,40,20,1
car parts and services,20,12,40,20,1
car parts and services,86,13.42,40.09,-80,0
car parts and services,23,11.92,39.53,-80,0
car parts and services,20,12,40,20,1
car parts and services,20,12,40,20,1
car parts and services,186,10.33,40.14,-68.89,0
car parts and services,49,11.83,39.85,120,1
car parts and services,24,12.17,40.6,20,1
car parts and services,141,12.67,40.25,245,1
car parts and services,20,12,40,20,1
car parts and services,28,12,39.47,15,1
car parts and services,86933,-379.25,40.37,-36.35,0
car parts and services,151,12.42,40.45,-55,0
car parts and services,46,11.58,40.22,-30,0
car parts and services,2210,6.75,40.25,17.35,1
car parts and services,20,12,40,20,1
car parts and services,30,12.08,40.03,15,1
car parts and services,20,11.92,40.42,-80,0
car rental,46,11.75,40.27,45,1
car rental,20,12,40,20,1
car rental,86390,-16.08,40.26,40.46,0
car rental,20,12,40,20,1
car rental business,20,12.08,40.71,20,1
car rental business,10199,-205.42,40.16,-77.92,0
car rental business,6633,87.17,40.29,-17.21,0
car rental business,22,12,40.4,20,1
car rental business,80,11.92,40.29,170,1
car rental business,20,12,40,20,1
car rental business,28,12.17,40,20,1
car rental business,20,12,40,20,1
car rental business,20,12,40,20,1
car rental business,31,10.58,40.17,-56.47,0
car rental business,20,12,39.8,20,1
car rental business,294,12.33,40.22,27.14,1
car rental business,21,11.83,40.32,-80,0
car rental business,20,12.08,39.49,20,1
car rental business,20,12,40,20,1
car rental business,3951,16.83,40.15,59.75,1
car rental business,855,13.83,40.16,220,1
car rental business,649,14,40.36,-17.38,0
car rental business,20,11.92,40.39,-80,0
car rental business,164,11.83,40.14,26.25,1
car rental business,884,6.83,40.23,25.68,1
car rental business,23,11.92,40.56,-80,0
car wash,51,13.42,40.22,120,1
car wash ,42,11.67,40.29,-30,0
cart parts and services,3526,10.83,40.14,-12.89,0
cart parts and services,3776,13.42,40.31,113.96,1
cart parts and services,20,12,40,20,1
cart parts and services,23,12.17,40.19,170,1
cart parts and services,20,12.08,40.64,20,1
catering business,20,12,40,20,1
catering business,338,13.42,40.3319,1253.333333,1
catering business,1372,9.83,40.26609412,-65.10638298,0
cellphone loading business,21673,-30.25,40.31,61.55,0
chocolate/candy store,29,11.92,40.5,-80,0
chocolate/candy store,20,12,40,20,1
chocolate/candy store,20,12,40,20,1
chocolate/candy store,20,12,40,20,1
chocolate/candy store,20,12,40,20,1
chocolate/candy store,20,12,40,20,1
chocolate/candy store,2936,-49.75,40.03,10.68,0
chocolate/candy store,20,12,40,20,1
chocolate/candy store,24,12.17,40,20,1
chocolate/candy store,20,12,40,20,1
chocolate/candy store,20,12,40,20,1
chocolate/candy store,20,12,40,20,1
chocolate/candy store,20,12,40,20,1
chocolate/candy store,73,12.42,40.21,720,1
chocolate/candy store,21,11.92,40.81,-80,0
chocolate/candy store,1411,11.67,40.39,270,1
christmas  shop,37,13.42,40.23,15,1
christmas  shop,718,25.67,40.81,1020,1
christmas  shop,20,12,40,20,1
christmas  shop,20,12.08,40,20,1
christmas  shop,222,14.5,40.31,-13.33,0
cigarette shop,421,8.92,40.17,-35.36,0
cigarette shop,20,12,40,20,1
classic cheese burger,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,27,12,40.36,15,1
coffee shop,20,12,40,20,1
coffee shop,33,12.08,40.27,320,1
coffee shop,4519,22.17,40.28,205.96,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,112,11.83,40.27,-5,0
coffee shop,20,12,40,20,1
coffee shop,39,12.58,40.33,20,1
coffee shop,21,12.25,40.26,15,1
coffee shop,20,12,40,20,1
coffee shop,80,12.33,40.17,470,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40.42,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,212,13.25,40.21,70,1
coffee shop,20,12,40,20,1
coffee shop,103,11.58,40.23,53.33,1
coffee shop,35,12.08,40.09,20,1
coffee shop,21,12.08,40.71,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,25,12,40.15,-46.67,0
coffee shop,47,12,40.26,-30,0
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,337,13.75,40.33,34.29,1
coffee shop,214,12.17,40.37,-14.48,0
coffee shop,125,11,40.33,-80,0
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,22,12.17,40.29,120,1
coffee shop,35,11.75,40.11,53.33,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,39,12.5,40.46,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40.41,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,12974,7.58,40.27,60.15,1
coffee shop,165,12.17,40.34,61.67,1
coffee shop,47,11.75,40.13,-63.33,0
coffee shop,87,12.25,40.26,-20,0
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,38,12.25,40.06,20,1
coffee shop,20,12,40,20,1
coffee shop,20,12,40,20,1
coffee shop,72,12,40.64,20,1
coffee shop,20,12,40,20,1
